Date,C1,C2,C3,C_avg,C_sd,Class,Mean,sd,Season
20160307,9.58,8.55,12.59,10.24,2.09930941,Arthropoda,24.13197902,8.227298783,Winter
20160414,11.68,10.12,6.42,9.406666667,2.701579785,Arthropoda,10.05775742,NA,Spring
20160503,58.62,70.84,56.97,62.14333333,7.576584543,Arthropoda,24.46834407,12.96098095,Spring
20160614,11.51,10.87,20.84,14.40666667,5.580612272,Arthropoda,2.165903207,1.544326043,Summer
20160722,14.45,25,42.16,27.20333333,13.98577968,Arthropoda,11.43198566,NA,Summer
20160817,36.83,38.35,30.3,35.16,4.276949848,Arthropoda,3.930159995,2.646019675,Summer
20160920,30.82,34.67,37.23,34.24,3.226561637,Arthropoda,9.962601518,6.195555222,Summer
20161019,17.74,19.18,19.61,18.84333333,0.979404581,Arthropoda,13.11491735,7.239973425,Fall
20161119,3.84,18.03,15.35,12.40666667,7.538994186,Arthropoda,9.234548231,1.270478906,Fall
20161213,19.35,9.41,16.65,15.13666667,5.139896238,Arthropoda,11.7838412,6.260921028,Winter
20170106,15.59,15.53,31.11,20.74333333,8.977846809,Arthropoda,11.38551417,9.338974822,Winter
20170218,48.72,71.93,45.67,55.44,14.36195321,Arthropoda,7.754099449,3.149149612,Winter
20170409,50.45,82.21,73.98,68.88,16.48277586,Arthropoda,20.47898825,7.765094481,Spring
20170509,26.3,28.42,30.52,28.41333333,2.110007899,Arthropoda,5.481145854,2.89480758,Spring
20170613,82.28,28.18,41.28,50.58,28.22357171,Arthropoda,20.24497112,16.61939089,Summer
20170815,53.64,56.91,62.68,57.74333333,4.577251723,Arthropoda,3.536258824,3.184799249,Summer
20170912,29.13,25.77,110.8,55.23333333,48.15146138,Arthropoda,27.58580628,9.20704992,Summer
20171016,21.87,23.54,13.88,19.76333333,5.163083704,Arthropoda,10.60711678,6.865363517,Fall
20171117,13.86,16.73,20.36,16.98333333,3.257396711,Arthropoda,13.36885083,7.195321536,Fall
20180114,32.13,63.7,46.48,47.43666667,15.80672747,Arthropoda,14.43935471,12.55280786,Winter
20180209,94.01,92.44,80.93,89.12666667,7.141794826,Arthropoda,28.83555733,28.16204447,Winter
20180412,39.28,27.28,22.89,29.81666667,8.484340477,Arthropoda,7.442076612,5.8125803,Spring
20180523,60.2,27.49,28.25,38.64666667,18.66960185,Arthropoda,13.22445728,8.767590836,Spring
20180612,30.83,25.51,21.08,25.80666667,4.881765391,Arthropoda,47.73451504,23.56611047,Summer
20180717,29.79,22.75,29.75,27.43,4.053048236,Arthropoda,42.78032264,20.28452834,Summer
20180813,25.83,59.44,30.9,38.72333333,18.11936625,Arthropoda,33.52087897,7.062429115,Summer
20180911,39.47,26.75,70.06,45.42666667,22.26096209,Arthropoda,45.15700724,17.13171394,Summer
20181018,19.31,18.33,19.42,19.02,0.600083328,Arthropoda,30.54006506,12.25120395,Fall
20181106,19.23,16.92,41.14,25.76333333,13.36657897,Arthropoda,27.21237469,4.393891968,Fall
20181214,14.14,17.65,18.34,16.71,2.252265526,Arthropoda,23.99920335,13.49245004,Winter
20190113,72.67,79.57,87.86,80.03333333,7.605592241,Arthropoda,7.813848503,7.039851376,Winter
20190219,78.75,85.78,88.77,84.43333333,5.14395114,Arthropoda,43.60519153,21.96963262,Winter
20190314,47.47,38.53,44.12,43.37333333,4.516528903,Arthropoda,56.16411073,20.74881747,Winter
20190409,33.57,30.22,29.25,31.01333333,2.266634804,Arthropoda,30.0582,12.49498179,Spring
20190512,35.56,30.74,38.37,34.89,3.858872892,Arthropoda,20.69142933,13.25168467,Spring
20190606,35.31,23.79,23.79,27.63,6.651075101,Arthropoda,14.21363606,NA,Summer
20190715,38.63,37.45,28.34,34.80666667,5.631290557,Arthropoda,22.86563102,9.395220582,Summer
20190818,47.67,120.51,84.31,84.16333333,36.42022149,Arthropoda,28.21483104,12.19157286,Summer
20190908,21.35,21.53,82.29,41.72333333,35.13187916,Arthropoda,19.44167828,11.88495645,Summer
20191021,13.41,17.19,20.09,16.89666667,3.349646748,Arthropoda,10.45774414,5.213254405,Fall
20191116,33.4,45.06,16.3,31.58666667,14.46549458,Arthropoda,30.33094337,35.41200713,Fall
20191210,30.67,50.41,36.72,39.26666667,10.11340859,Arthropoda,29.63553077,20.49957318,Fall
20160307,9.58,8.55,12.59,10.24,2.09930941,Dinophyceae,15.73723694,2.379072489,Winter
20160414,11.68,10.12,6.42,9.406666667,2.701579785,Dinophyceae,16.59695944,NA,Spring
20160503,58.62,70.84,56.97,62.14333333,7.576584543,Dinophyceae,10.18389431,2.870750123,Spring
20160614,11.51,10.87,20.84,14.40666667,5.580612272,Dinophyceae,28.98824935,10.54898703,Summer
20160722,14.45,25,42.16,27.20333333,13.98577968,Dinophyceae,25.97756091,NA,Summer
20160817,36.83,38.35,30.3,35.16,4.276949848,Dinophyceae,29.4181106,6.425961764,Summer
20160920,30.82,34.67,37.23,34.24,3.226561637,Dinophyceae,25.5725951,10.77621852,Summer
20161019,17.74,19.18,19.61,18.84333333,0.979404581,Dinophyceae,20.10887605,4.063105614,Fall
20161119,3.84,18.03,15.35,12.40666667,7.538994186,Dinophyceae,16.82433778,4.576269807,Fall
20161213,19.35,9.41,16.65,15.13666667,5.139896238,Dinophyceae,16.95545376,5.685794364,Winter
20170106,15.59,15.53,31.11,20.74333333,8.977846809,Dinophyceae,13.35889265,3.962797399,Winter
20170218,48.72,71.93,45.67,55.44,14.36195321,Dinophyceae,27.5360154,7.650411014,Winter
20170409,50.45,82.21,73.98,68.88,16.48277586,Dinophyceae,45.59184757,13.96142857,Spring
20170509,26.3,28.42,30.52,28.41333333,2.110007899,Dinophyceae,36.01540198,8.237632024,Spring
20170613,82.28,28.18,41.28,50.58,28.22357171,Dinophyceae,28.6015402,15.82995254,Summer
20170815,53.64,56.91,62.68,57.74333333,4.577251723,Dinophyceae,37.8631968,5.585964877,Summer
20170912,29.13,25.77,110.8,55.23333333,48.15146138,Dinophyceae,23.70377747,6.812976175,Summer
20171016,21.87,23.54,13.88,19.76333333,5.163083704,Dinophyceae,24.13363872,10.79114154,Fall
20171117,13.86,16.73,20.36,16.98333333,3.257396711,Dinophyceae,13.14147248,3.896992465,Fall
20180114,32.13,63.7,46.48,47.43666667,15.80672747,Dinophyceae,17.92803558,6.140796043,Winter
20180209,94.01,92.44,80.93,89.12666667,7.141794826,Dinophyceae,15.36214565,8.820318204,Winter
20180412,39.28,27.28,22.89,29.81666667,8.484340477,Dinophyceae,20.22671447,13.14633119,Spring
20180523,60.2,27.49,28.25,38.64666667,18.66960185,Dinophyceae,24.31786497,11.55593039,Spring
20180612,30.83,25.51,21.08,25.80666667,4.881765391,Dinophyceae,19.85660227,10.99115432,Summer
20180717,29.79,22.75,29.75,27.43,4.053048236,Dinophyceae,20.04580761,9.172074245,Summer
20180813,25.83,59.44,30.9,38.72333333,18.11936625,Dinophyceae,18.80933413,11.43793072,Summer
20180911,39.47,26.75,70.06,45.42666667,22.26096209,Dinophyceae,18.25665538,5.435508692,Summer
20181018,19.31,18.33,19.42,19.02,0.600083328,Dinophyceae,19.61926575,1.110727253,Fall
20181106,19.23,16.92,41.14,25.76333333,13.36657897,Dinophyceae,24.5900551,9.914422903,Fall
20181214,14.14,17.65,18.34,16.71,2.252265526,Dinophyceae,16.31979021,4.452812555,Winter
20190113,72.67,79.57,87.86,80.03333333,7.605592241,Dinophyceae,23.14777933,4.825655695,Winter
20190219,78.75,85.78,88.77,84.43333333,5.14395114,Dinophyceae,12.24855606,4.675397743,Winter
20190314,47.47,38.53,44.12,43.37333333,4.516528903,Dinophyceae,16.09739096,11.01642958,Winter
20190409,33.57,30.22,29.25,31.01333333,2.266634804,Dinophyceae,19.60211556,6.831790213,Spring
20190512,35.56,30.74,38.37,34.89,3.858872892,Dinophyceae,24.93029277,7.723488829,Spring
20190606,35.31,23.79,23.79,27.63,6.651075101,Dinophyceae,30.6047932,NA,Summer
20190715,38.63,37.45,28.34,34.80666667,5.631290557,Dinophyceae,29.96415057,8.929300736,Summer
20190818,47.67,120.51,84.31,84.16333333,36.42022149,Dinophyceae,24.45064064,13.52536153,Summer
20190908,21.35,21.53,82.29,41.72333333,35.13187916,Dinophyceae,25.30538405,6.650359191,Summer
20191021,13.41,17.19,20.09,16.89666667,3.349646748,Dinophyceae,20.20679811,5.937481612,Fall
20191116,33.4,45.06,16.3,31.58666667,14.46549458,Dinophyceae,13.60286795,2.579102703,Fall
20191210,30.67,50.41,36.72,39.26666667,10.11340859,Dinophyceae,16.28991569,3.960297913,Fall
20160307,9.58,8.55,12.59,10.24,2.09930941,Syndiniales,36.20294762,4.045445453,Winter
20160414,11.68,10.12,6.42,9.406666667,2.701579785,Syndiniales,46.41837615,NA,Spring
20160503,58.62,70.84,56.97,62.14333333,7.576584543,Syndiniales,29.58905928,18.60733139,Spring
20160614,11.51,10.87,20.84,14.40666667,5.580612272,Syndiniales,44.79187413,8.515997627,Summer
20160722,14.45,25,42.16,27.20333333,13.98577968,Syndiniales,49.23322047,NA,Summer
20160817,36.83,38.35,30.3,35.16,4.276949848,Syndiniales,50.06638784,7.373216493,Summer
20160920,30.82,34.67,37.23,34.24,3.226561637,Syndiniales,44.10365354,14.35761485,Summer
20161019,17.74,19.18,19.61,18.84333333,0.979404581,Syndiniales,45.4175795,7.756630972,Fall
20161119,3.84,18.03,15.35,12.40666667,7.538994186,Syndiniales,46.64907389,3.609066487,Fall
20161213,19.35,9.41,16.65,15.13666667,5.139896238,Syndiniales,48.16935537,7.048432251,Winter
20170106,15.59,15.53,31.11,20.74333333,8.977846809,Syndiniales,38.43025958,4.50928484,Winter
20170218,48.72,71.93,45.67,55.44,14.36195321,Syndiniales,29.86124942,7.561577634,Winter
20170409,50.45,82.21,73.98,68.88,16.48277586,Syndiniales,13.24437363,8.102903256,Spring
20170509,26.3,28.42,30.52,28.41333333,2.110007899,Syndiniales,38.90825201,5.985589293,Spring
20170613,82.28,28.18,41.28,50.58,28.22357171,Syndiniales,29.88946425,10.69875434,Summer
20170815,53.64,56.91,62.68,57.74333333,4.577251723,Syndiniales,32.83542455,9.471818299,Summer
20170912,29.13,25.77,110.8,55.23333333,48.15146138,Syndiniales,30.1550156,6.154047223,Summer
20171016,21.87,23.54,13.88,19.76333333,5.163083704,Syndiniales,38.59456947,4.534746137,Fall
20171117,13.86,16.73,20.36,16.98333333,3.257396711,Syndiniales,38.39872535,2.498841505,Fall
20180114,32.13,63.7,46.48,47.43666667,15.80672747,Syndiniales,43.0442143,10.85195989,Winter
20180209,94.01,92.44,80.93,89.12666667,7.141794826,Syndiniales,32.07362411,14.64103089,Winter
20180412,39.28,27.28,22.89,29.81666667,8.484340477,Syndiniales,40.51483768,10.16899646,Spring
20180523,60.2,27.49,28.25,38.64666667,18.66960185,Syndiniales,33.68684857,4.827701088,Spring
20180612,30.83,25.51,21.08,25.80666667,4.881765391,Syndiniales,15.49492133,2.367561936,Summer
20180717,29.79,22.75,29.75,27.43,4.053048236,Syndiniales,21.14618602,8.450764743,Summer
20180813,25.83,59.44,30.9,38.72333333,18.11936625,Syndiniales,25.70039169,10.08903577,Summer
20180911,39.47,26.75,70.06,45.42666667,22.26096209,Syndiniales,23.67888203,13.15336739,Summer
20181018,19.31,18.33,19.42,19.02,0.600083328,Syndiniales,31.90765452,7.361638686,Fall
20181106,19.23,16.92,41.14,25.76333333,13.36657897,Syndiniales,31.55081989,1.694652778,Fall
20181214,14.14,17.65,18.34,16.71,2.252265526,Syndiniales,27.87791277,7.412451815,Winter
20190113,72.67,79.57,87.86,80.03333333,7.605592241,Syndiniales,36.35397995,7.963934381,Winter
20190219,78.75,85.78,88.77,84.43333333,5.14395114,Syndiniales,22.78596561,17.34978231,Winter
20190314,47.47,38.53,44.12,43.37333333,4.516528903,Syndiniales,16.02436434,14.85322535,Winter
20190409,33.57,30.22,29.25,31.01333333,2.266634804,Syndiniales,32.51233707,4.202839532,Spring
20190512,35.56,30.74,38.37,34.89,3.858872892,Syndiniales,31.20560313,5.942955039,Spring
20190606,35.31,23.79,23.79,27.63,6.651075101,Syndiniales,32.03213171,NA,Summer
20190715,38.63,37.45,28.34,34.80666667,5.631290557,Syndiniales,27.24390892,3.823122485,Summer
20190818,47.67,120.51,84.31,84.16333333,36.42022149,Syndiniales,20.51882095,4.157261935,Summer
20190908,21.35,21.53,82.29,41.72333333,35.13187916,Syndiniales,36.29589059,7.311559492,Summer
20191021,13.41,17.19,20.09,16.89666667,3.349646748,Syndiniales,46.65737237,5.394944911,Fall
20191116,33.4,45.06,16.3,31.58666667,14.46549458,Syndiniales,27.58414658,12.52710294,Fall
20191210,30.67,50.41,36.72,39.26666667,10.11340859,Syndiniales,31.32344155,6.394159507,Fall